sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO70487,CL-9009,19044,20131110,20131117,20131122,8,1,8
SO70488,TT-R982,25753,20131110,20131117,20131122,4,1,4
SO70489,TI-M602,20927,20131110,20131117,20131122,30,1,30
SO70489,FE-6654,20927,20131110,20131117,20131122,22,1,22
SO70489,BC-M005,20927,20131110,20131117,20131122,10,1,10
SO70489,WB-H098,20927,20131110,20131117,20131122,5,1,5
SO70489,HL-U509-R,20927,20131110,20131117,20131122,35,1,35
SO70490,TT-R982,12367,20131110,20131117,20131122,4,1,4
SO70490,TI-R092,12367,20131110,20131117,20131122,21,1,21
SO70490,HL-U509-B,12367,20131110,20131117,20131122,35,1,35
SO70490,LJ-0192-S,12367,20131110,20131117,20131122,50,1,50
SO70491,TT-T092,28445,20131110,20131117,20131122,5,1,5
SO70491,TI-T723,28445,20131110,20131117,20131122,29,1,29
SO70492,TT-T092,14934,20131110,20131117,20131122,5,1,5
SO70492,TI-T723,14934,20131110,20131117,20131122,29,1,29
SO70492,GL-H102-M,14934,20131110,20131117,20131122,24,1,24
SO70493,TT-T092,14527,20131110,20131117,20131122,5,1,5
SO70494,TI-M823,11619,20131110,20131117,20131122,35,1,35
SO70494,PK-7098,11619,20131110,20131117,20131122,2,1,2
SO70495,TI-M823,11204,20131110,20131117,20131122,35,1,35
SO70495,TT-M928,11204,20131110,20131117,20131122,5,1,5
SO70495,HL-U509-B,11204,20131110,20131117,20131122,35,1,35
SO70496,TI-M823,11507,20131110,20131117,20131122,35,1,35
SO70497,TI-M823,13197,20131110,20131117,20131122,35,1,35
SO70497,TT-M928,13197,20131110,20131117,20131122,5,1,5
SO70497,PK-7098,13197,20131110,20131117,20131122,2,1,2
SO70497,CL-9009,13197,20131110,20131117,20131122,8,1,8
SO70498,TI-M823,11959,20131110,20131117,20131122,35,1,35
SO70498,TT-M928,11959,20131110,20131117,20131122,5,1,5
SO70498,VE-C304-S,11959,20131110,20131117,20131122,64,1,64
SO70499,FE-6654,13200,20131110,20131117,20131122,22,1,22
SO70499,PK-7098,13200,20131110,20131117,20131122,2,1,2
SO70500,HL-U509-R,12127,20131110,20131117,20131122,35,1,35
SO70501,BK-M68S-46,20035,20131110,20131117,20131122,2320,1,2320
SO70502,BK-M68B-38,16967,20131110,20131117,20131122,2295,1,2295
SO70502,FE-6654,16967,20131110,20131117,20131122,22,1,22
SO70503,BK-M68B-38,19746,20131110,20131117,20131122,2295,1,2295
SO70503,TI-M823,19746,20131110,20131117,20131122,35,1,35
SO70504,BK-M68S-46,13165,20131110,20131117,20131122,2320,1,2320
SO70505,BK-M68S-42,13210,20131110,20131117,20131122,2320,1,2320
SO70506,BK-M68S-46,18839,20131110,20131117,20131122,2320,1,2320
SO70506,BC-M005,18839,20131110,20131117,20131122,10,1,10
SO70506,HY-1023-70,18839,20131110,20131117,20131122,55,1,55
SO70507,BK-T18U-62,11420,20131110,20131117,20131122,742,1,742
SO70507,HL-U509-R,11420,20131110,20131117,20131122,35,1,35
SO70508,BK-R64Y-44,26795,20131110,20131117,20131122,1120,1,1120
SO70508,HL-U509-B,26795,20131110,20131117,20131122,35,1,35
SO70508,SJ-0194-S,26795,20131110,20131117,20131122,54,1,54
SO70509,BK-R79Y-40,21985,20131110,20131117,20131122,1701,1,1701
SO70509,SJ-0194-L,21985,20131110,20131117,20131122,54,1,54
SO70510,BK-R64Y-42,26797,20131110,20131117,20131122,1120,1,1120
SO70510,SJ-0194-L,26797,20131110,20131117,20131122,54,1,54
SO70511,BK-R19B-52,23484,20131110,20131117,20131122,540,1,540
SO70512,BK-R19B-52,23854,20131110,20131117,20131122,540,1,540
SO70512,HL-U509-B,23854,20131110,20131117,20131122,35,1,35
SO70512,SO-R809-M,23854,20131110,20131117,20131122,9,1,9
SO70513,BK-R64Y-48,21588,20131110,20131117,20131122,1120,1,1120
SO70513,SJ-0194-L,21588,20131110,20131117,20131122,54,1,54
SO70514,BK-R64Y-42,21590,20131110,20131117,20131122,1120,1,1120
SO70514,WB-H098,21590,20131110,20131117,20131122,5,1,5
SO70514,BC-R205,21590,20131110,20131117,20131122,9,1,9
SO70514,HL-U509-R,21590,20131110,20131117,20131122,35,1,35
SO70515,BK-R79Y-48,18670,20131110,20131117,20131122,1701,1,1701
SO70515,BC-R205,18670,20131110,20131117,20131122,9,1,9
SO70515,CA-1098,18670,20131110,20131117,20131122,9,1,9
SO70515,WB-H098,18670,20131110,20131117,20131122,5,1,5
SO70516,BK-R64Y-44,20887,20131110,20131117,20131122,1120,1,1120
SO70516,CA-1098,20887,20131110,20131117,20131122,9,1,9
SO70516,HL-U509,20887,20131110,20131117,20131122,35,1,35
SO70517,BK-R64Y-48,24835,20131110,20131117,20131122,1120,1,1120
SO70517,LJ-0192-S,24835,20131110,20131117,20131122,50,1,50
SO70518,BK-R19B-52,25504,20131110,20131117,20131122,540,1,540
SO70518,WB-H098,25504,20131110,20131117,20131122,5,1,5
SO70518,BC-R205,25504,20131110,20131117,20131122,9,1,9
SO70518,GL-H102-M,25504,20131110,20131117,20131122,24,1,24
SO70519,BK-R19B-48,25550,20131110,20131117,20131122,540,1,540
SO70519,HL-U509-R,25550,20131110,20131117,20131122,35,1,35
SO70520,BK-R79Y-44,25661,20131110,20131117,20131122,1701,1,1701
SO70520,HL-U509,25661,20131110,20131117,20131122,35,1,35
SO70521,BK-T18U-62,11034,20131110,20131117,20131122,742,1,742
SO70521,SJ-0194-M,11034,20131110,20131117,20131122,54,1,54
SO70522,BK-T79Y-54,13077,20131110,20131117,20131122,2384,1,2384
SO70522,WB-H098,13077,20131110,20131117,20131122,5,1,5
SO70522,BC-R205,13077,20131110,20131117,20131122,9,1,9
SO70522,GL-H102-L,13077,20131110,20131117,20131122,24,1,24
SO70523,BK-R79Y-44,22599,20131111,20131118,20131123,1701,1,1701
SO70524,BK-R79Y-48,12125,20131111,20131118,20131123,1701,1,1701
SO70524,HL-U509,12125,20131111,20131118,20131123,35,1,35
SO70525,HL-U509-R,11287,20131111,20131118,20131123,35,1,35
SO70525,SJ-0194-M,11287,20131111,20131118,20131123,54,1,54
SO70526,TI-M267,14213,20131111,20131118,20131123,25,1,25
SO70526,PK-7098,14213,20131111,20131118,20131123,2,1,2
SO70527,TT-T092,24228,20131111,20131118,20131123,5,1,5
SO70527,PK-7098,24228,20131111,20131118,20131123,2,1,2
SO70527,CL-9009,24228,20131111,20131118,20131123,8,1,8
SO70528,CA-1098,15426,20131111,20131118,20131123,9,1,9
SO70529,SJ-0194-X,18466,20131111,20131118,20131123,54,1,54
SO70530,BK-M18S-48,15666,20131111,20131118,20131123,565,1,565
SO70530,FE-6654,15666,20131111,20131118,20131123,22,1,22
SO70530,LJ-0192-L,15666,20131111,20131118,20131123,50,1,50
SO70530,CA-1098,15666,20131111,20131118,20131123,9,1,9
SO70531,BK-R79Y-42,19286,20131111,20131118,20131123,1701,1,1701
SO70531,SJ-0194-S,19286,20131111,20131118,20131123,54,1,54
SO70532,TT-R982,11161,20131111,20131118,20131123,4,1,4
SO70532,HL-U509-B,11161,20131111,20131118,20131123,35,1,35
SO70533,TT-R982,29125,20131111,20131118,20131123,4,1,4
SO70533,PK-7098,29125,20131111,20131118,20131123,2,1,2
SO70533,CL-9009,29125,20131111,20131118,20131123,8,1,8
SO70534,TT-M928,11331,20131111,20131118,20131123,5,1,5
SO70534,TI-M267,11331,20131111,20131118,20131123,25,1,25
SO70534,HL-U509,11331,20131111,20131118,20131123,35,1,35
SO70535,TI-M267,11223,20131111,20131118,20131123,25,1,25
SO70535,PK-7098,11223,20131111,20131118,20131123,2,1,2
SO70536,TI-R982,14561,20131111,20131118,20131123,33,1,33
SO70536,TT-R982,14561,20131111,20131118,20131123,4,1,4
SO70536,HL-U509,14561,20131111,20131118,20131123,35,1,35
SO70537,TI-M602,23247,20131111,20131118,20131123,30,1,30
SO70537,TT-M928,23247,20131111,20131118,20131123,5,1,5
SO70537,FE-6654,23247,20131111,20131118,20131123,22,1,22
SO70537,SJ-0194-L,23247,20131111,20131118,20131123,54,1,54
SO70538,TI-R982,11869,20131111,20131118,20131123,33,1,33
SO70538,TT-R982,11869,20131111,20131118,20131123,4,1,4
SO70538,HL-U509-R,11869,20131111,20131118,20131123,35,1,35
SO70538,GL-H102-S,11869,20131111,20131118,20131123,24,1,24
SO70539,TT-M928,23068,20131111,20131118,20131123,5,1,5
SO70539,TI-M602,23068,20131111,20131118,20131123,30,1,30
SO70539,PK-7098,23068,20131111,20131118,20131123,2,1,2
SO70540,TI-M602,19541,20131111,20131118,20131123,30,1,30
SO70540,PK-7098,19541,20131111,20131118,20131123,2,1,2
SO70541,SH-W890-S,20363,20131111,20131118,20131123,70,1,70
SO70541,LJ-0192-M,20363,20131111,20131118,20131123,50,1,50
SO70541,GL-H102-M,20363,20131111,20131118,20131123,24,1,24
SO70542,SH-W890-L,20362,20131111,20131118,20131123,70,1,70
SO70543,SH-W890-L,19810,20131111,20131118,20131123,70,1,70
SO70543,CA-1098,19810,20131111,20131118,20131123,9,1,9
SO70544,CA-1098,17588,20131111,20131118,20131123,9,1,9
SO70544,WB-H098,17588,20131111,20131118,20131123,5,1,5
SO70545,WB-H098,12166,20131111,20131118,20131123,5,1,5
SO70545,HL-U509-B,12166,20131111,20131118,20131123,35,1,35
SO70546,WB-H098,18910,20131111,20131118,20131123,5,1,5
SO70546,HY-1023-70,18910,20131111,20131118,20131123,55,1,55
SO70547,TT-M928,15286,20131111,20131118,20131123,5,1,5
SO70547,VE-C304-S,15286,20131111,20131118,20131123,64,1,64
SO70548,FE-6654,13459,20131111,20131118,20131123,22,1,22
SO70548,HL-U509,13459,20131111,20131118,20131123,35,1,35
SO70549,TT-M928,23487,20131111,20131118,20131123,5,1,5
SO70549,HL-U509,23487,20131111,20131118,20131123,35,1,35
SO70549,LJ-0192-M,23487,20131111,20131118,20131123,50,1,50
SO70550,TI-M823,15698,20131111,20131118,20131123,35,1,35
SO70550,TT-M928,15698,20131111,20131118,20131123,5,1,5
SO70550,PK-7098,15698,20131111,20131118,20131123,2,1,2
SO70551,SH-W890-L,28550,20131111,20131118,20131123,70,1,70
SO70551,SJ-0194-M,28550,20131111,20131118,20131123,54,1,54
SO70552,TI-M823,29378,20131111,20131118,20131123,35,1,35
SO70552,TT-M928,29378,20131111,20131118,20131123,5,1,5
SO70553,WB-H098,21109,20131111,20131118,20131123,5,1,5
SO70553,HL-U509-R,21109,20131111,20131118,20131123,35,1,35
SO70554,TI-R628,18001,20131111,20131118,20131123,25,1,25
SO70554,TT-R982,18001,20131111,20131118,20131123,4,1,4
SO70554,PK-7098,18001,20131111,20131118,20131123,2,1,2
SO70555,TI-R092,11566,20131111,20131118,20131123,21,1,21
SO70555,CA-1098,11566,20131111,20131118,20131123,9,1,9
SO70556,TT-R982,20935,20131111,20131118,20131123,4,1,4
SO70556,ST-1401,20935,20131111,20131118,20131123,159,1,159
SO70557,TI-T723,14692,20131111,20131118,20131123,29,1,29
SO70557,TT-T092,14692,20131111,20131118,20131123,5,1,5
SO70557,PK-7098,14692,20131111,20131118,20131123,2,1,2
SO70558,TT-T092,27805,20131111,20131118,20131123,5,1,5
SO70558,CA-1098,27805,20131111,20131118,20131123,9,1,9
SO70558,HL-U509-R,27805,20131111,20131118,20131123,35,1,35
SO70559,TT-M928,11498,20131111,20131118,20131123,5,1,5
SO70559,TI-M823,11498,20131111,20131118,20131123,35,1,35
SO70559,HL-U509-R,11498,20131111,20131118,20131123,35,1,35
SO70560,TI-M823,11518,20131111,20131118,20131123,35,1,35
SO70560,FE-6654,11518,20131111,20131118,20131123,22,1,22
SO70560,WB-H098,11518,20131111,20131118,20131123,5,1,5
SO70560,BC-M005,11518,20131111,20131118,20131123,10,1,10
SO70561,TI-M823,13175,20131111,20131118,20131123,35,1,35
SO70561,TT-M928,13175,20131111,20131118,20131123,5,1,5
SO70561,FE-6654,13175,20131111,20131118,20131123,22,1,22
SO70562,TI-M823,12412,20131111,20131118,20131123,35,1,35
SO70562,TT-M928,12412,20131111,20131118,20131123,5,1,5
SO70562,VE-C304-L,12412,20131111,20131118,20131123,64,1,64
SO70562,HL-U509,12412,20131111,20131118,20131123,35,1,35
SO70563,FE-6654,12786,20131111,20131118,20131123,22,1,22
SO70564,BK-M18B-44,19982,20131111,20131118,20131123,540,1,540
SO70564,BC-M005,19982,20131111,20131118,20131123,10,1,10
SO70564,WB-H098,19982,20131111,20131118,20131123,5,1,5
SO70564,HL-U509-R,19982,20131111,20131118,20131123,35,1,35
SO70565,BK-M18B-44,19990,20131111,20131118,20131123,540,1,540
SO70565,CA-1098,19990,20131111,20131118,20131123,9,1,9
SO70566,BK-M18S-40,16150,20131111,20131118,20131123,565,1,565
SO70566,BC-M005,16150,20131111,20131118,20131123,10,1,10
SO70566,HY-1023-70,16150,20131111,20131118,20131123,55,1,55
SO70567,BK-R89B-58,16366,20131111,20131118,20131123,2443,1,2443
SO70567,RA-H123,16366,20131111,20131118,20131123,120,1,120
SO70568,BK-M68B-42,13851,20131111,20131118,20131123,2295,1,2295
SO70568,FE-6654,13851,20131111,20131118,20131123,22,1,22
SO70568,BC-M005,13851,20131111,20131118,20131123,10,1,10
SO70568,WB-H098,13851,20131111,20131118,20131123,5,1,5
SO70569,BK-M68B-46,17007,20131111,20131118,20131123,2295,1,2295
SO70569,TI-M823,17007,20131111,20131118,20131123,35,1,35
SO70570,BK-M68S-46,19661,20131111,20131118,20131123,2320,1,2320
SO70570,TT-M928,19661,20131111,20131118,20131123,5,1,5
SO70570,TI-M823,19661,20131111,20131118,20131123,35,1,35
SO70570,PK-7098,19661,20131111,20131118,20131123,2,1,2
SO70570,ST-1401,19661,20131111,20131118,20131123,159,1,159
SO70571,BK-M68B-42,13709,20131111,20131118,20131123,2295,1,2295
